VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,election_zone,election_zone_code,total_election_votes,eligible_voters_election,winner_name,winner_party,winner_votes,recall_agree_votes,recall_disagree_votes,recall_valid_votes,recall_invalid_votes,recall_eligible_voters,recall_turnout_rate,recall_case,candidate_1_name,candidate_1_number,candidate_1_party,candidate_1_votes,candidate_2_name,candidate_2_number,candidate_2_party,candidate_2_votes,candidate_3_name,candidate_3_number,candidate_3_party,candidate_3_votes,candidate_4_name,candidate_4_number,candidate_4_party,candidate_4_votes,candidate_5_name,candidate_5_number,candidate_5_party,candidate_5_votes,candidate_6_name,candidate_6_number,candidate_6_party,candidate_6_votes,candidate_7_name,candidate_7_number,candidate_7_party,candidate_7_votes,candidate_8_name,candidate_8_number,candidate_8_party,candidate_8_votes
63000010002,臺北市,松山區,莊敬里,臺北市第03選區,6300003,3025,4227,王鴻薇,中國國民黨,1746,1015,1463,2478,9,4077,61.0,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,9,陳源發,2,無黨籍及未經政黨推薦,28,謝佩芬,3,民主進步黨,1202,高士恩,4,制度救世島,1,王鴻薇,5,中國國民黨,1746,楊時睿,6,台灣維新,18,陳一郎,7,臺灣雙語無法黨,21,,,,
63000010003,臺北市,松山區,東榮里,臺北市第03選區,6300003,4654,6286,王鴻薇,中國國民黨,2394,1934,1930,3864,12,6155,62.97,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,7,陳源發,2,無黨籍及未經政黨推薦,23,謝佩芬,3,民主進步黨,2175,高士恩,4,制度救世島,1,王鴻薇,5,中國國民黨,2394,楊時睿,6,台灣維新,27,陳一郎,7,臺灣雙語無法黨,27,,,,
63000010004,臺北市,松山區,三民里,臺北市第03選區,6300003,3981,5485,王鴻薇,中國國民黨,2257,1475,1836,3311,15,5442,61.12,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,8,陳源發,2,無黨籍及未經政黨推薦,17,謝佩芬,3,民主進步黨,1664,高士恩,4,制度救世島,1,王鴻薇,5,中國國民黨,2257,楊時睿,6,台灣維新,21,陳一郎,7,臺灣雙語無法黨,13,,,,
63000010005,臺北市,松山區,新益里,臺北市第03選區,6300003,2851,3743,王鴻薇,中國國民黨,1542,1113,1257,2370,10,3660,65.03,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,5,陳源發,2,無黨籍及未經政黨推薦,16,謝佩芬,3,民主進步黨,1256,高士恩,4,制度救世島,5,王鴻薇,5,中國國民黨,1542,楊時睿,6,台灣維新,14,陳一郎,7,臺灣雙語無法黨,13,,,,
63000010006,臺北市,松山區,富錦里,臺北市第03選區,6300003,3037,4184,王鴻薇,中國國民黨,1703,1098,1431,2529,14,4066,62.54,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,7,陳源發,2,無黨籍及未經政黨推薦,23,謝佩芬,3,民主進步黨,1266,高士恩,4,制度救世島,2,王鴻薇,5,中國國民黨,1703,楊時睿,6,台灣維新,23,陳一郎,7,臺灣雙語無法黨,13,,,,
63000010007,臺北市,松山區,新東里,臺北市第03選區,6300003,2990,3980,王鴻薇,中國國民黨,1654,1073,1343,2416,9,3855,62.91,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,5,陳源發,2,無黨籍及未經政黨推薦,25,謝佩芬,3,民主進步黨,1267,高士恩,4,制度救世島,2,王鴻薇,5,中國國民黨,1654,楊時睿,6,台灣維新,20,陳一郎,7,臺灣雙語無法黨,17,,,,
63000010008,臺北市,松山區,富泰里,臺北市第03選區,6300003,2692,3700,王鴻薇,中國國民黨,1604,884,1319,2203,7,3693,59.84,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,13,陳源發,2,無黨籍及未經政黨推薦,19,謝佩芬,3,民主進步黨,1036,高士恩,4,制度救世島,1,王鴻薇,5,中國國民黨,1604,楊時睿,6,台灣維新,10,陳一郎,7,臺灣雙語無法黨,9,,,,
63000010009,臺北市,松山區,介壽里,臺北市第03選區,6300003,2539,3431,王鴻薇,中國國民黨,1290,957,1064,2021,11,3368,60.33,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,6,陳源發,2,無黨籍及未經政黨推薦,16,謝佩芬,3,民主進步黨,1188,高士恩,4,制度救世島,2,王鴻薇,5,中國國民黨,1290,楊時睿,6,台灣維新,21,陳一郎,7,臺灣雙語無法黨,16,,,,
63000010010,臺北市,松山區,精忠里,臺北市第03選區,6300003,2498,3428,王鴻薇,中國國民黨,1388,909,1106,2015,9,3388,59.74,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,4,陳源發,2,無黨籍及未經政黨推薦,22,謝佩芬,3,民主進步黨,1053,高士恩,4,制度救世島,1,王鴻薇,5,中國國民黨,1388,楊時睿,6,台灣維新,13,陳一郎,7,臺灣雙語無法黨,17,,,,
63000010011,臺北市,松山區,東光里,臺北市第03選區,6300003,4192,5719,王鴻薇,中國國民黨,2370,1453,1963,3416,17,5595,61.36,第11屆立法委員(臺北市第3選舉區)王鴻薇罷免案各投開票所投開票結果表,余新造,1,人民最大黨,3,陳源發,2,無黨籍及未經政黨推薦,34,謝佩芬,3,民主進步黨,1727,高士恩,4,制度救世島,6,王鴻薇,5,中國國民黨,2370,楊時睿,6,台灣維新,28,陳一郎,7,臺灣雙語無法黨,24,,,,
