VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,election_zone,winner_name,winner_party,winner_votes,recall_agree_votes,recall_disagree_votes,compared_with,gap,recall_valid_votes,recall_eligible_voters,eligible_voters_election
65000170007,新北市,林口區,湖南里,新北市第01選區,洪孟楷,中國國民黨,9903,5464,7249,recall_disagree_votes,2654,12713,23660,22057
65000170008,新北市,林口區,南勢里,新北市第01選區,洪孟楷,中國國民黨,10140,6129,7681,recall_disagree_votes,2459,13810,25651,22995
65000060016,新北市,新店區,公崙里,新北市第11選區,羅明才,中國國民黨,5005,1829,3694,recall_disagree_votes,1311,5523,11676,11502
66000030012,臺中市,南區,樹義里,臺中市第06選區,羅廷瑋,中國國民黨,5225,3073,4163,recall_disagree_votes,1062,7236,12218,11636
66000170007,臺中市,潭子區,東寶里,臺中市第03選區,楊瓊瓔,中國國民黨,4564,2077,3523,recall_disagree_votes,1041,5600,11512,11693
65000100008,新北市,淡水區,崁頂里,新北市第01選區,洪孟楷,中國國民黨,8630,5357,7598,recall_disagree_votes,1032,12955,25881,20723
65000060060,新北市,新店區,香坡里,新北市第11選區,羅明才,中國國民黨,4604,1477,3632,recall_disagree_votes,972,5109,10546,10255
65000100012,新北市,淡水區,北投里,新北市第01選區,洪孟楷,中國國民黨,4078,2192,3112,recall_disagree_votes,966,5304,9791,9196
66000090027,臺中市,豐原區,北陽里,臺中市第08選區,江啟臣,中國國民黨,5095,2278,4142,recall_disagree_votes,953,6420,12696,12657
65000170016,新北市,林口區,麗林里,新北市第01選區,洪孟楷,中國國民黨,3454,1627,2508,recall_disagree_votes,946,4135,7606,7372
68000010050,桃園市,桃園區,同安里,桃園市第04選區,萬美玲,中國國民黨,3977,2440,3040,recall_disagree_votes,937,5480,9945,9892
66000170006,臺中市,潭子區,甘蔗里,臺中市第03選區,楊瓊瓔,中國國民黨,3817,1527,2895,recall_disagree_votes,922,4422,9236,9123
65000160017,新北市,泰山區,全興里,新北市第01選區,洪孟楷,中國國民黨,3004,1736,2084,recall_disagree_votes,920,3820,7707,7554
66000180002,臺中市,大雅區,員林里,臺中市第03選區,楊瓊瓔,中國國民黨,3896,1565,2980,recall_disagree_votes,916,4545,9109,8996
65000170003,新北市,林口區,西林里,新北市第01選區,洪孟楷,中國國民黨,3766,2303,2860,recall_disagree_votes,906,5163,9732,9530
66000170001,臺中市,潭子區,潭陽里,臺中市第03選區,楊瓊瓔,中國國民黨,4050,1772,3151,recall_disagree_votes,899,4923,10241,10338
65000100021,新北市,淡水區,竿蓁里,新北市第01選區,洪孟楷,中國國民黨,4252,2462,3355,recall_disagree_votes,897,5817,11094,10155
66000090019,臺中市,豐原區,社皮里,臺中市第08選區,江啟臣,中國國民黨,3933,1520,3040,recall_disagree_votes,893,4560,9485,9492
66000060005,臺中市,西屯區,惠來里,臺中市第04選區,廖偉翔,中國國民黨,5569,3636,4689,recall_disagree_votes,880,8325,15771,15203
66000030011,臺中市,南區,永興里,臺中市第06選區,羅廷瑋,中國國民黨,3442,2038,2603,recall_disagree_votes,839,4641,7928,7751
65000100035,新北市,淡水區,新春里,新北市第01選區,洪孟楷,中國國民黨,3353,1921,2527,recall_disagree_votes,826,4448,8519,8254
63000010012,臺北市,松山區,龍田里,臺北市第03選區,王鴻薇,中國國民黨,4017,1752,3209,recall_disagree_votes,808,4961,8211,8244
66000090025,臺中市,豐原區,南陽里,臺中市第08選區,江啟臣,中國國民黨,4030,1739,3240,recall_disagree_votes,790,4979,10183,10209
65000170015,新北市,林口區,仁愛里,新北市第01選區,洪孟楷,中國國民黨,2697,1308,1910,recall_disagree_votes,787,3218,5944,5886
68000010051,桃園市,桃園區,莊敬里,桃園市第04選區,萬美玲,中國國民黨,3715,1885,2944,recall_disagree_votes,771,4829,8711,8646
65000100042,新北市,淡水區,大庄里,新北市第01選區,洪孟楷,中國國民黨,4580,2445,3811,recall_disagree_votes,769,6256,11747,10325
65000060040,新北市,新店區,張北里,新北市第11選區,羅明才,中國國民黨,3506,1342,2757,recall_disagree_votes,749,4099,8095,8001
65000060014,新北市,新店區,柴埕里,新北市第11選區,羅明才,中國國民黨,3107,1237,2375,recall_disagree_votes,732,3612,7924,7844
63000020009,臺北市,信義區,安康里,臺北市第07選區,徐巧芯,中國國民黨,3295,2179,2568,recall_disagree_votes,727,4747,8213,8251
66000030021,臺中市,南區,工學里,臺中市第06選區,羅廷瑋,中國國民黨,3078,1672,2363,recall_disagree_votes,715,4035,6818,6559
66000090023,臺中市,豐原區,豐田里,臺中市第08選區,江啟臣,中國國民黨,3779,1742,3079,recall_disagree_votes,700,4821,9737,9857
66000170004,臺中市,潭子區,福仁里,臺中市第03選區,楊瓊瓔,中國國民黨,4195,1783,3497,recall_disagree_votes,698,5280,10832,10269
